Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.200000000000	77.1652515988	0.0129592009263	-54.3860715693	-51.7942313840	-3.09863951987	5.16637417312	6.99858137668	1275.19844251	-1.58142714767	2.59373152362e-05	0.0977020970913	liquid
14.2670716667	0.200000000000	76.9134275018	0.0130016309568	-52.2129779743	-49.6126517829	-2.94404640861	5.17699519192	7.07572631843	1268.86587596	-1.55884910828	2.49423245977e-05	0.0982198711869	liquid
14.5771433333	0.200000000000	76.6581716180	0.0130449237034	-50.0137531838	-47.4047684431	-2.79095384467	5.19708916889	7.16742442074	1262.41935898	-1.53309513405	2.40163928124e-05	0.0987163183941	liquid
14.8872150000	0.200000000000	76.3991959292	0.0130891429921	-47.7845804337	-45.1667518353	-2.63903852654	5.22281710374	7.26951122102	1255.90636370	-1.50530866035	2.31516110850e-05	0.0991912556593	liquid
15.1972866667	0.200000000000	76.1362430029	0.0131343491688	-45.5227298351	-42.8958600013	-2.48806950606	5.25155884625	7.37907370913	1249.34919972	-1.47627753648	2.23413349283e-05	0.0996445120201	liquid
15.5073583333	0.200000000000	75.8690811042	0.0131805998629	-43.2262238265	-40.5901038539	-2.33787890925	5.28157459656	7.49412112278	1242.75315352	-1.44652691100	2.15799403151e-05	0.100075930013	liquid
15.8174300000	0.200000000000	75.5974991809	0.0132279508031	-40.8935918825	-38.2480017219	-2.18834125788	5.31175106695	7.61333544806	1236.11264729	-1.41639387095	2.08626305650e-05	0.100485365655	liquid
16.1275016667	0.200000000000	75.3213020329	0.0132764566332	-38.5236924598	-35.8684011331	-2.03935901117	5.34141347620	7.73588462594	1229.41564896	-1.38608416776	2.01852831963e-05	0.100872687430	liquid
16.4375733333	0.200000000000	75.0403058281	0.0133261717015	-36.1155850039	-33.4503506636	-1.89085256132	5.37018794745	7.86128428679	1222.64669719	-1.35571374719	1.95443282014e-05	0.101237774608	liquid
16.7476450000	0.200000000000	74.7543340278	0.0133771508101	-33.6684388099	-30.9930086479	-1.74275338711	5.39790199890	7.98929655642	1215.78889497	-1.32533833299	1.89366510186e-05	0.101580515127	liquid
17.0577166667	0.200000000000	74.4632137243	0.0134294499255	-31.1814687017	-28.4955787166	-1.59499942386	5.42451349896	8.11985688744	1208.82516516	-1.29497403890	1.83595149145e-05	0.101900803194	liquid
17.3677883333	0.200000000000	74.1667723575	0.0134831268534	-28.6538899768	-25.9572646061	-1.44753197089	5.45006067186	8.25302189638	1201.73899213	-1.26461144117	1.78104986380e-05	0.102198536717	liquid
17.6778600000	0.200000000000	73.8648347571	0.0135382418886	-26.0848869758	-23.3772385981	-1.30029365101	5.47462751688	8.38893283678	1194.51481393	-1.23422498338	1.72874461084e-05	0.102473614624	liquid
17.9879316667	0.200000000000	73.5572204493	0.0135948584502	-23.4735910898	-20.7546193998	-1.15322707733	5.49832040135	8.52779064846	1187.13818144	-1.20377910115	1.67884256028e-05	0.102725934103	liquid
18.2980033333	0.200000000000	73.2437411591	0.0136530437164	-20.8190651131	-18.0884563698	-1.00627398387	5.52125266812	8.66983954771	1179.59576576	-1.17323207052	1.63116964637e-05	0.102955387764	liquid
18.6080750000	0.200000000000	72.9241984443	0.0137128692716	-18.1202916604	-15.3777178061	-0.859374649712	5.54353492415	8.81535691399	1171.87526958	-1.14253829321	1.58556817731e-05	0.103161860712	liquid
18.9181466667	0.200000000000	72.5983813928	0.0137744117818	-15.3761639684	-12.6212816121	-0.712467497486	5.56526930126	8.96464783525	1163.96527984	-1.11164951789	1.54189457766e-05	0.103345227505	liquid
19.2282183333	0.200000000000	72.2660643195	0.0138377537149	-12.5854778313	-9.81792708828	-0.565488783693	5.58654644823	9.11804313654	1155.85508672	-1.08051534244	1.50001750991e-05	0.103505348955	liquid
19.5382900000	0.200000000000	71.9270043968	0.0139029841210	-9.74692373012	-6.96632690592	-0.418372323170	5.60744436189	9.27590007052	1147.53448459	-1.04908323100	1.45981629980e-05	0.103642068715	liquid
