Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	1.25000000000	78.0095893151	0.0128189368612	-56.1896413913	-40.1659703148	-3.23506832978	5.18756727946	6.88768277284	1307.35154348	-1.60845602615	2.78497430628e-05	0.0984518392614	liquid
14.5771433333	1.25000000000	77.5333617080	0.0128976736978	-51.9747944802	-35.8527023580	-2.93272036914	5.20823950325	7.03274533904	1296.29651717	-1.56583891273	2.57783764017e-05	0.0995492444493	liquid
14.8872150000	1.25000000000	77.2906503177	0.0129381755217	-49.8309654973	-33.6582460951	-2.78376154861	5.23035735652	7.12324626270	1290.60767933	-1.54062712494	2.48474050249e-05	0.100066657468	liquid
15.1972866667	1.25000000000	77.0445826487	0.0129794979169	-47.6588600677	-31.4344876715	-2.63592563422	5.25631204744	7.22133342056	1284.85579291	-1.51403395333	2.39761887358e-05	0.100563045248	liquid
15.5073583333	1.25000000000	76.7949721612	0.0130216858195	-45.4565252184	-29.1794179440	-2.48903630753	5.28426304894	7.32492221484	1279.05231006	-1.48662535280	2.31586109319e-05	0.101038301619	liquid
15.8174300000	1.25000000000	76.5416528560	0.0130647818892	-43.2225432500	-26.8915658886	-2.34296210771	5.31299680086	7.43259146143	1273.19807962	-1.45877666301	2.23894408399e-05	0.101492335643	liquid
16.1275016667	1.25000000000	76.2844752488	0.0131088271465	-40.9558563906	-24.5698224574	-2.19760191206	5.34174353538	7.54340146304	1267.28739521	-1.43072812046	2.16641728793e-05	0.101925071174	liquid
16.4375733333	1.25000000000	76.0233026478	0.0131538615815	-38.6556403251	-22.2133133482	-2.05287480527	5.37004237008	7.65675844354	1261.31083762	-1.40262619211	2.09788985044e-05	0.102336445809	liquid
16.7476450000	1.25000000000	75.7580078075	0.0131999247200	-36.3212139476	-19.8213080475	-1.90871308309	5.39764304440	7.77231453001	1255.25719591	-1.37455349750	2.03302036493e-05	0.102726409452	liquid
17.0577166667	1.25000000000	75.4884699752	0.0132470561442	-33.9519756921	-17.3931555118	-1.76505747484	5.42443516848	7.88989469875	1249.11471574	-1.34655000345	1.97150863620e-05	0.103094922653	liquid
17.3677883333	1.25000000000	75.2145723105	0.0132952959683	-31.5473591662	-14.9282392058	-1.62185392169	5.45039792355	8.00944398930	1242.87187136	-1.31862776027	1.91308903794e-05	0.103441954836	liquid
17.6778600000	1.25000000000	74.9361996410	0.0133446852761	-29.1068026444	-12.4259460492	-1.47905143429	5.47556482287	8.13098983389	1236.51780866	-1.29078096698	1.85752513105e-05	0.103767482475	liquid
