Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.0200000000000	77.0143474079	0.0129845935681	-54.0457946101	-53.7861027387	-3.07405946637	5.16190822556	7.01970036141	1269.56138375	-1.57614325293	2.56096124811e-05	0.0975700913881	liquid
14.2670716667	0.0200000000000	76.7596179068	0.0130276834001	-51.8581681997	-51.5976145317	-2.91897687449	5.17355981874	7.09916280313	1263.05533378	-1.55300512408	2.46277480418e-05	0.0980804703380	liquid
14.5771433333	0.0200000000000	76.5013488377	0.0130716649470	-49.6435424653	-49.3821091663	-2.76535588227	5.19450012562	7.19314628844	1256.44011004	-1.52672827532	2.37138553964e-05	0.0985694035780	liquid
14.8872150000	0.0200000000000	76.2392421374	0.0131166046771	-47.3980976323	-47.1357655387	-2.61287540023	5.22090417175	7.29749736744	1249.76255308	-1.49844898905	2.28601319443e-05	0.0990366975076	liquid
15.1972866667	0.0200000000000	75.9730305073	0.0131625656279	-45.1190971113	-44.8558457987	-2.46130626862	5.25016929733	7.40931943874	1243.04395070	-1.46894703261	2.20600263995e-05	0.0994821702486	liquid
15.5073583333	0.0200000000000	75.7024723498	0.0132096082064	-42.8045514905	-42.5403593264	-2.31048192608	5.28057447300	7.52664143088	1236.28838070	-1.43873953629	2.13079966458e-05	0.0999056529546	liquid
15.8174300000	0.0200000000000	75.4273465823	0.0132577910441	-40.4529723081	-40.1878164872	-2.16027771850	5.31102504740	7.64816694141	1229.48899290	-1.40815611876	2.05993180850e-05	0.100306989673	liquid
15.9178862239	0.0200000000000	75.3371979290	0.0132736553454	-39.6829709600	-39.4174978531	-2.11173123012	5.32078141943	7.68829465459	1227.27465538	-1.39820304414	2.03783290666e-05	0.100432239821	liquid
15.9178862239	0.0200000000000	0.314593677985	3.17870341962	353.648204783	417.222273176	26.5754804139	6.31143615468	10.8463065999	325.017139069	24.5200105044	7.52783784943e-07	0.0125051288322	vapor
16.1275016667	0.0200000000000	0.310171650086	3.22402127894	355.012771241	419.493196819	26.7172144895	6.30310577905	10.8214457997	327.362158039	23.9722333145	7.66068153843e-07	0.0126771395200	vapor
16.4375733333	0.0200000000000	0.303867581830	3.29090715757	357.025087702	422.843230854	26.9229657211	6.29134041697	10.7871732958	330.797762100	23.2094558110	7.85518538476e-07	0.0129313250734	vapor
16.7476450000	0.0200000000000	0.297829232599	3.35762877027	359.030513493	426.183088899	27.1242583789	6.28037481180	10.7557870708	334.193233370	22.4987638567	8.04746553465e-07	0.0131851647768	vapor
17.0577166667	0.0200000000000	0.292038923723	3.42420108680	361.029621336	429.513643072	27.3213076632	6.27029288107	10.7271338955	337.548527245	21.8353777140	8.23768918292e-07	0.0134386235959	vapor
17.3677883333	0.0200000000000	0.286480630458	3.49063738935	363.022965559	432.835713346	27.5143141137	6.26112469799	10.7010333473	340.863998167	21.2149311562	8.42600372466e-07	0.0136916714466	vapor
17.6778600000	0.0200000000000	0.281139782983	3.55694946262	365.011072130	436.150061382	27.7034642956	6.25286257148	10.6772916963	344.140295477	20.6334508183	8.61253930394e-07	0.0139442824108	vapor
17.9879316667	0.0200000000000	0.276003095689	3.62314776762	366.994432679	439.457388032	27.8889316311	6.24547326700	10.6557118172	347.378279481	20.0873332337	8.79741103241e-07	0.0141964340895	vapor
18.2980033333	0.0200000000000	0.271058420339	3.68924159873	368.973501444	442.758333418	28.0708773021	6.23890716765	10.6361000571	350.578954642	19.5733203024	8.98072091778e-07	0.0144481070683	vapor
18.6080750000	0.0200000000000	0.266294619405	3.75523922426	370.948694287	446.053478772	28.2494511728	6.23310503811	10.6182708055	353.743417112	19.0884739199	9.16255953876e-07	0.0146992844759	vapor
18.9181466667	0.0200000000000	0.261701456474	3.82114801146	372.920389175	449.343349404	28.4247926959	6.22800293163	10.6020493526	356.872814120	18.6301504295	9.34300749884e-07	0.0149499516176	vapor
19.2282183333	0.0200000000000	0.257269501119	3.88697453702	374.888927624	452.628418365	28.5970317819	6.22353567327	10.5872734971	359.968313040	18.1959754523	9.52213668806e-07	0.0152000956713	vapor
19.5382900000	0.0200000000000	0.252990046073	3.95272468432	376.854616763	455.909110450	28.7662896161	6.21963926368	10.5737942537	363.031078294	17.7838195368	9.70001137806e-07	0.0154497054329	vapor
19.8483616667	0.0200000000000	0.248855034861	4.01840372873	378.817731749	459.185806324	28.9326794178	6.21625247347	10.5614759304	366.062254509	17.3917749527	9.87668917280e-07	0.0156987711047	vapor
20.1584333333	0.0200000000000	0.244856998374	4.08401641219	380.778518354	462.458846598	29.0963071381	6.21331783838	10.5501957776	369.062954613	17.0181338577	1.00522218341e-06	0.0159472841158	vapor
20.4685050000	0.0200000000000	0.240988999090	4.14956700836	382.737195582	465.728535749	29.2572720966	6.21078221723	10.5398433588	372.034251790	16.6613679726	1.02266559992e-06	0.0161952369721	vapor
20.7785766667	0.0200000000000	0.237244581867	4.21505937935	384.693958232	468.995145819	29.4156675599	6.20859703654	10.5303197547	374.977174409	16.3201098338	1.04000338043e-06	0.0164426231278	vapor
