Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Thermal Expansion Coefficient (l, 1/K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Thermal Expansion Coefficient (v, 1/K)
14.9570000000	0.0126208002694	76.1730595447	0.0131280009754	-46.8719468751	-46.7062609968	-2.57760311806	5.22723681831	7.32328470045	1247.99890008	-1.49160251101	2.26637359318e-05	0.0991324257244	0.00285624489159	0.0112274472	0.209395137267	4.77566008960	348.626469538	408.899121683	27.8834106334	6.27987997042	10.6967885447	316.580265826	26.6161537620	7.00289978001e-07	0.0115579261754	0.0708441759
15.0570000000	0.0132728436711	76.0879088343	0.0131426926475	-46.1394731375	-45.9650322326	-2.52878158881	5.23663742217	7.35905806528	1245.85392405	-1.48213655475	2.24050655469e-05	0.0992773730136	0.00283865248680	0.0112970290	0.218935923921	4.56754644049	349.160258204	409.784588069	27.7395069349	6.28335645189	10.7112719414	317.486458705	26.3797453609	7.05768120327e-07	0.0116551189792	0.0705228579
15.1570000000	0.0139501971307	76.0023472199	0.0131574883748	-45.4034781127	-45.2199285562	-2.48004940408	5.24622092565	7.39547051721	1243.70647362	-1.47257962680	2.21516507173e-05	0.0994200813468	0.00282106390360	0.0113678550	0.228788536644	4.37084835922	349.691578087	410.665774326	27.5975189064	6.28678937583	10.7259922099	318.386021809	26.1477155234	7.11242300469e-07	0.0117526139651	0.0702095452
15.2570000000	0.0146534906042	75.9163679543	0.0131723899199	-44.6639048995	-44.4708834076	-2.43140161094	5.25593562710	7.43246174879	1241.55661236	-1.46294736967	2.19033131149e-05	0.0995605469649	0.00280347920565	0.0114398983	0.238958892494	4.18482019884	350.220379923	411.542603388	27.4574026622	6.29017769522	10.7409538604	319.278993882	25.9200228962	7.16712695988e-07	0.0118504186338	0.0699041446
15.3570000000	0.0153833592609	75.8299645565	0.0131873990163	-43.9207023814	-43.7178358846	-2.38283373006	5.26573680569	7.46997893415	1239.40428235	-1.45325333922	2.16598834265e-05	0.0996987663113	0.00278589845763	0.0115131345	0.249452933404	4.00877226158	350.746613901	412.414997796	27.3191154579	6.29352074242	10.7561618780	320.165410950	25.6966175182	7.22179486404e-07	0.0119485405151	0.0696065662
15.4570000000	0.0161404433560	75.7431307949	0.0132025173703	-43.1738245194	-42.9607300357	-2.33434169759	5.27558597200	7.50797598628	1237.24932244	-1.44350923065	2.14212007690e-05	0.0998347360299	0.00276832172525	0.0115875412	0.260276626497	3.84206608738	351.270229694	413.282879747	27.1826156540	6.29681821316	10.7716217050	321.045306365	25.4774419269	7.27642853216e-07	0.0120469871684	0.0693167232
15.5570000000	0.0169253881066	75.6558606704	0.0132177466642	-42.4232297165	-42.1995142243	-2.28592181329	5.28545018892	7.54641288165	1235.09148450	-1.43372508400	2.11871121480e-05	0.0999684529632	0.00275074907529	0.0116630982	0.271435964453	3.68411018051	351.791176500	414.146171133	27.0478626797	6.30007014996	10.7873392223	321.918710855	25.2624321758	7.33102979923e-07	0.0121457661824	0.0690345321
15.6570000000	0.0177388435669	75.5681484002	0.0132330885587	-41.6688802452	-41.4341405573	-2.23757069461	5.29530145689	7.58525504631	1232.93044791	-1.42390947047	2.09574719551e-05	0.100099914149	0.00273318057560	0.0117397875	0.282936965956	3.53435612990	352.309403080	415.004793578	26.9148170000	6.30327692486	10.8033207307	322.785652578	25.0515187652	7.38560052054e-07	0.0122448851755	0.0687599122
15.7570000000	0.0185814645073	75.4799884024	0.0132485446960	-40.9107417353	-40.6645643723	-2.18928523585	5.30511615813	7.62447279891	1230.76583231	-1.41406966068	2.07321415010e-05	0.100229116817	0.00271561629516	0.0118175930	0.294785676181	3.39229508352	352.824857789	415.858668482	26.7834400833	6.30643922186	10.8195729319	323.646157194	24.8446274933	7.44014257210e-07	0.0123443517962	0.0684927857
15.8570000000	0.0194539102940	75.3913752802	0.0132641167015	-40.1487827139	-39.8907437775	-2.14106257208	5.31487455479	7.66404084564	1228.59720894	-1.40421177620	2.05109885823e-05	0.100356058384	0.00269805630405	0.0118965008	0.306988167361	3.25745454164	353.337488616	416.707717056	26.6536943702	6.30955801914	10.8361029104	324.500247928	24.6416802329	7.49465785110e-07	0.0124441737232	0.0682330777
15.9570000000	0.0203568447702	75.3023038078	0.0132798061870	-39.3829741937	-39.1126392406	-2.09290004712	5.32456033642	7.70393782296	1226.42411046	-1.39434092558	2.02938870790e-05	0.100480736449	0.00268050067352	0.0119764989	0.319550539397	3.12939543737	353.847243215	417.551860358	26.5255432441	6.31263457099	10.8529181146	325.347945651	24.4425956370	7.54914827643e-07	0.0125443586661	0.0679807161
16.0570000000	0.0212909361401	75.2127689152	0.0132956147530	-38.6132893049	-38.3302132203	-2.04479518531	5.33416021237	7.74414588390	1224.24603968	-1.38446132633	2.00807165806e-05	0.100603148785	0.00266294947598	0.0120575773	0.332478920540	3.00770947637	354.354068939	418.391019329	26.3989510032	6.31567038992	10.8700263390	326.189268957	24.2472897787	7.60361578924e-07	0.0126449143659	0.0677356312
16.1570000000	0.0222568568538	75.1227656756	0.0133115439908	-37.8397029673	-37.5434298382	-1.99674566657	5.34366354515	7.78465032437	1222.06247704	-1.37457641380	1.98713620387e-05	0.100723293341	0.00264540278506	0.0121397276	0.345779468115	2.89201671069	354.857912872	419.225114821	26.2738828325	6.31866722870	10.8874357066	327.024234247	24.0556767313	7.65806235364e-07	0.0127458485954	0.0674977561
16.2570000000	0.0232552834945	75.0322892913	0.0133275954852	-37.0621915966	-36.7522545853	-1.94874930450	5.35306202110	7.82543924586	1219.87288716	-1.36468893831	1.96657134440e-05	0.100841168224	0.00262786067560	0.0122229437	0.359458369316	2.78196332416	355.358721858	420.054067633	26.1503047779	6.32162706264	10.9051546519	327.852855817	23.8676690901	7.71248995736e-07	0.0128471691604	0.0672670264
16.3570000000	0.0242868966673	74.9413350815	0.0133437708164	-36.2807328445	-35.9566540615	-1.90080402700	5.36234935493	7.86650325149	1217.67672449	-1.35480105164	1.94636655257e-05	0.100956771704	0.00261032322372	0.0123072207	0.373521842049	2.67721960921	355.856442530	420.877798534	26.0281837211	6.32455207210	10.9231919043	328.675145939	23.6831784430	7.76690061248e-07	0.0129488839000	0.0670433802
16.4570000000	0.0253523808897	74.8498984702	0.0133600715624	-35.4953053664	-35.1565957434	-1.85290785934	5.37152102510	7.90783517231	1215.47343814	-1.34491438371	1.92651174721e-05	0.101070102199	0.00259279050678	0.0123925557	0.387976135828	2.57747811696	356.351021338	421.696228294	25.9074873547	6.32744462537	10.9415564725	329.491114958	23.5021157916	7.82129635623e-07	0.0130510006879	0.0668267581
16.5570000000	0.0264524244852	74.7579749744	0.0133764993011	-34.7058886161	-34.3520477785	-1.80505890933	5.38057403712	7.94942982125	1213.26247600	-1.33503011064	1.90699726707e-05	0.101181158272	0.00257526260349	0.0124789474	0.402827532736	2.48245196451	356.842404576	422.509277706	25.7881841591	6.33030726183	10.9602576296	330.300771375	23.3243919280	7.87567925181e-07	0.0131535274334	0.0666171029
16.6570000000	0.0275877194773	74.6655601935	0.0133930556124	-33.9124626639	-33.5429788028	-1.75725535427	5.38950671214	7.99128377226	1211.04328829	-1.32514901492	1.88781384656e-05	0.101289938623	0.00255773959388	0.0125663962	0.418082348427	2.39187328468	357.330538402	423.316867605	25.6702433795	6.33314267569	10.9793048989	331.104121941	23.1499177695	7.93005138925e-07	0.0132564720823	0.0664143599
16.7570000000	0.0287589614862	74.5726497980	0.0134097420798	-33.1150080350	-32.7293577790	-1.70949542962	5.39831849849	8.03339516219	1208.81533046	-1.31527153844	1.86895259320e-05	0.101396442083	0.00254022155933	0.0126549038	0.433746933193	2.30549180519	357.815368863	424.118918895	25.5536350039	6.33595370010	10.9987080406	331.901171745	22.9786046561	7.98441488631e-07	0.0133598426181	0.0662184768
16.8570000000	0.0299668496272	74.4792395201	0.0134265602931	-32.3135055678	-31.9111538544	-1.66177741911	5.40700980398	8.07576351358	1206.57806567	-1.30539782934	1.85040496660e-05	0.101500667604	0.00252270858265	0.0127444734	0.449827673079	2.22307354538	358.296841915	424.915352559	25.4383297419	6.33874329185	11.0184770396	332.691924304	22.8103646125	8.03877188939e-07	0.0134636470636	0.0660294034
16.9570000000	0.0312120864113	74.3853251436	0.0134435118495	-31.5079362884	-31.0883362349	-1.61409964615	5.41558184688	8.11838957616	1204.33096681	-1.29552778310	1.83216275883e-05	0.101602614254	0.00250520074806	0.0128351100	0.466330991056	2.14439961997	358.774903443	425.706089682	25.3242990044	6.34151451663	11.0386220940	333.476381649	22.6451105776	8.09312457452e-07	0.0135678934821	0.0658470920
17.0570000000	0.0324953776481	74.2909024950	0.0134605983561	-30.6982813010	-30.2608740740	-1.56646046634	5.42403652384	8.16127518551	1202.07351819	-1.28566107858	1.81421807617e-05	0.101702281209	0.00248769814123	0.0129268196	0.483263348247	2.06926514007	359.249499277	426.491051458	25.2115148829	6.34427053480	11.0591536044	334.254544417	22.4827566061	8.14747514833e-07	0.0136725899788	0.0656714970
17.1570000000	0.0338174323489	74.1959674346	0.0134778214312	-29.8845216909	-29.4287363765	-1.51885826106	5.43237629305	8.20442313727	1199.80521678	-1.27579720960	1.79656332198e-05	0.101799667746	0.00247020084935	0.0130196097	0.500631245203	1.99747820293	359.720575206	427.270159202	25.0999501308	6.34701458791	11.0800821647	335.026411929	22.3232180415	8.20182584903e-07	0.0137777447027	0.0655025750
17.2570000000	0.0351789626347	74.1005158482	0.0134951827063	-29.0666384404	-28.5918919122	-1.47129143188	5.44060407117	8.24783707529	1197.52557332	-1.26593551252	1.77919118082e-05	0.101894773235	0.00245270896112	0.0131134891	0.518441223243	1.92885896254	360.188076994	428.043334365	24.9895781443	6.34974998566	11.1014185533	335.791982281	22.1664116659	8.25617894750e-07	0.0138833658483	0.0653402850
17.3570000000	0.0365806836434	74.0045436390	0.0135126838276	-28.2446123546	-27.7503091424	-1.42375839581	5.44872314248	8.29152139258	1195.23411303	-1.25607519014	1.76209460350e-05	0.101987597132	0.00243522256679	0.0132084681	0.536699865836	1.86323877395	360.651950390	428.810498532	24.8803729446	6.35248009367	11.1231737261	336.551252422	22.0122558273	8.31053674834e-07	0.0139894616570	0.0651845880
17.4570000000	0.0380233134409	73.9080467202	0.0135303264580	-27.4184239977	-26.9039561539	-1.37625758116	5.45673707933	8.33548114370	1192.93037623	-1.24621533261	1.74526679320e-05	0.102078138972	0.00241774175824	0.0133045579	0.555413800055	1.80045940504	361.112141139	429.571573435	24.7723091593	6.35520832172	11.1453588092	337.304218234	21.8606705464	8.36490159091e-07	0.0140960404198	0.0650354474
