Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.0500000000000	77.0396320741	0.0129803319808	-54.1031878039	-53.4541712049	-3.07818229503	5.16267167908	7.01613238132	1270.50371099	-1.57703874160	2.56642316452e-05	0.0975921705688	liquid
14.2670716667	0.0500000000000	76.7853938190	0.0130233101670	-51.9180157909	-51.2668502825	-2.92318240624	5.17414966588	7.09520260029	1264.02711054	-1.55399514920	2.46801864346e-05	0.0981037892098	liquid
14.5771433333	0.0500000000000	76.5276343814	0.0130671751202	-49.7059917489	-49.0526329929	-2.76965071513	5.19494737741	7.18879897273	1257.44054082	-1.52780662548	2.37642938387e-05	0.0985939825056	liquid
14.8872150000	0.0500000000000	76.2660574174	0.0131119928558	-47.4632965569	-46.8076969141	-2.61726576492	5.22123747344	7.29276614322	1250.79094939	-1.49961067438	2.29087336229e-05	0.0990625586664	liquid
15.1972866667	0.0500000000000	76.0003973216	0.0131578259488	-45.1871949178	-44.5293036204	-2.46579810057	5.25041434832	7.40420469557	1244.09979736	-1.47018843669	2.21069390277e-05	0.0995093376926	liquid
15.5073583333	0.0500000000000	75.7304141940	0.0132047343283	-42.8756995991	-42.2154628827	-2.31508094630	5.28075381303	7.52114018727	1237.37136773	-1.44005840272	2.13533543406e-05	0.0999341527006	liquid
15.8174300000	0.0500000000000	75.4558886826	0.0132527761247	-40.5273253646	-39.8646865583	-2.16498951660	5.31115807972	7.64227251521	1230.59902665	-1.40955145732	2.06432430015e-05	0.100336849807	liquid
16.1275016667	0.0500000000000	75.1766170143	0.0133020085196	-38.1409104218	-37.4758099958	-2.01542656564	5.34096703723	7.76678844563	1223.76969081	-1.37886775231	1.99725354972e-05	0.100717287002	liquid
16.4375733333	0.0500000000000	74.8924063740	0.0133524885688	-35.7154880891	-35.0478636606	-1.86631239948	5.36982024983	7.89422300239	1216.86688098	-1.34811823657	1.93377085300e-05	0.101075332344	liquid
16.7476450000	0.0500000000000	74.6030706935	0.0134042739891	-33.2501953919	-32.5799816924	-1.71757804884	5.39755726604	8.02435816340	1209.87272650	-1.31735416537	1.87356887528e-05	0.101410861699	liquid
17.0577166667	0.0500000000000	74.3084268503	0.0134574239072	-30.7442084892	-30.0713372939	-1.56916065685	5.42414653469	8.15714975181	1202.76922100	-1.28658760519	1.81637758056e-05	0.101723756192	liquid
17.3677883333	0.0500000000000	74.0082912401	0.0135119995779	-28.1966973332	-27.5210973543	-1.42100040051	5.44963546149	8.29267545725	1195.53895825	-1.25580538954	1.76195805276e-05	0.102013899464	liquid
17.6778600000	0.0500000000000	73.7024766666	0.0135680650804	-25.6067938845	-24.9283906305	-1.27303845880	5.47411593258	8.43109858807	1188.16551474	-1.22497840855	1.71009751215e-05	0.102281174805	liquid
17.9879316667	0.0500000000000	73.3907894821	0.0136256880060	-22.9735696688	-22.2922852685	-1.12521568172	5.49770104012	8.57264347846	1180.63359732	-1.19406762443	1.66060527468e-05	0.102525462175	liquid
