Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.700000000000	77.5746809285	0.0128908039070	-55.2819384853	-46.2583757504	-3.16502327448	5.17742783003	6.94332581279	1290.65624223	-1.59505328758	2.68476586275e-05	0.0980631907310	liquid
14.2670716667	0.700000000000	77.3304318123	0.0129315196691	-53.1469288186	-44.0948650503	-3.01171036204	5.18532043721	7.01445371255	1284.76775631	-1.57394688668	2.58156997587e-05	0.0986010004019	liquid
14.5771433333	0.700000000000	77.0830213443	0.0129730254803	-50.9880176126	-41.9068997764	-2.85999870227	5.20317517952	7.10023881642	1278.75209815	-1.54956235871	2.48558467437e-05	0.0991177745656	liquid
14.8872150000	0.700000000000	76.8321863852	0.0130153786720	-48.8013867416	-39.6906216712	-2.70955880279	5.22711623611	7.19649086842	1272.65838361	-1.52306092311	2.39598910464e-05	0.0996133559134	liquid
15.1972866667	0.700000000000	76.5776936275	0.0130586330383	-46.5843135789	-37.4432704521	-2.56015459875	5.25447718379	7.30025671685	1266.51155949	-1.49525100866	2.31209249280e-05	0.100087599860	liquid
15.5073583333	0.700000000000	76.3193351570	0.0131028395091	-44.3348402551	-35.1628525988	-2.41161431414	5.28346841417	7.40949692141	1260.32001563	-1.46667837828	2.23330928159e-05	0.100540376178	liquid
15.8174300000	0.700000000000	76.0569238689	0.0131480468724	-42.0515307248	-32.8478979141	-2.26380981613	5.31292712704	7.52284003483	1254.08142267	-1.43769937593	2.15913940819e-05	0.100971569247	liquid
16.1275016667	0.700000000000	75.7902890511	0.0131943024960	-39.7332941400	-30.4972823928	-2.11664212787	5.34213166667	7.63939811099	1247.78696121	-1.40853711155	2.08915263666e-05	0.101381077361	liquid
16.4375733333	0.700000000000	75.5192722971	0.0132416530189	-37.3792577289	-28.1101006157	-1.97003136476	5.37066522308	7.75862968081	1241.42425593	-1.37932293629	2.02297608298e-05	0.101768811383	liquid
16.7476450000	0.700000000000	75.2437238185	0.0132901450015	-34.9886762449	-25.6855747439	-1.82390981850	5.39831692118	7.88023904997	1234.97933362	-1.35012622369	1.96028425264e-05	0.102134693007	liquid
17.0577166667	0.700000000000	74.9634991659	0.0133398255301	-32.5608681451	-23.2229902740	-1.67821725991	5.42501091103	8.00410309410	1228.43787588	-1.32097529177	1.90079105630e-05	0.102478652769	liquid
17.3677883333	0.700000000000	74.6784563328	0.0133907427805	-30.0951710840	-20.7216511376	-1.53289778955	5.45075621720	8.13021868635	1221.78597702	-1.29187182124	1.84424338431e-05	0.102800627928	liquid
17.6778600000	0.700000000000	74.3884531995	0.0134429465460	-27.5909111847	-18.1808486025	-1.38789775522	5.47561182961	8.25866548934	1215.01056293	-1.26280060218	1.79041591187e-05	0.103100560273	liquid
17.9879316667	0.700000000000	74.0933452622	0.0134964887395	-25.0473819761	-15.5998398585	-1.24316439398	5.49966287726	8.38958011452	1208.09958293	-1.23373597996	1.73910687771e-05	0.103378393909	liquid
18.2980033333	0.700000000000	73.7929835927	0.0135514238795	-22.4638299689	-12.9778332533	-1.09864495702	5.52300477917	8.52313864615	1201.04205296	-1.20464600010	1.69013463524e-05	0.103634073018	liquid
18.6080750000	0.700000000000	73.4872129745	0.0136078095702	-19.8394446456	-10.3139779464	-0.954286147723	5.54573307302	8.65954529483	1193.82800458	-1.17549496743	1.64333481800e-05	0.103867539616	liquid
18.9181466667	0.700000000000	73.1758701597	0.0136657069853	-17.1733512410	-7.60735635127	-0.810033754850	5.56793723284	8.79902553255	1186.44837672	-1.14624492497	1.59855799588e-05	0.104078731279	liquid
19.2282183333	0.700000000000	72.8587822006	0.0137251813686	-14.4646051280	-4.85697817000	-0.665832399160	5.58969724568	8.94182250751	1178.89487507	-1.11685640464	1.55566772425e-05	0.104267578818	liquid
19.5382900000	0.700000000000	72.5357648057	0.0137863025596	-11.7121869397	-2.06177514796	-0.521625337473	5.61108205922	9.08819587430	1171.15981528	-1.08728869262	1.51453890933e-05	0.104434003886	liquid
19.8483616667	0.700000000000	72.2066206767	0.0138491455580	-8.91499778774	0.779404102828	-0.377354285711	5.63214926528	9.23842243042	1163.23596033	-1.05749977377	1.47505642861e-05	0.104577916463	liquid
20.1584333333	0.700000000000	71.8711377824	0.0139137911386	-6.07185409542	3.66779970162	-0.232959234613	5.65294557041	9.39279814360	1155.11635825	-1.02744606458	1.43711395820e-05	0.104699212206	liquid
20.4685050000	0.700000000000	71.5290875239	0.0139803265303	-3.18148166622	6.60474690500	-0.0883782397516	5.67350774060	9.55164130284	1146.79418348	-0.997082005029	1.40061296831e-05	0.104797769589	liquid
20.7785766667	0.700000000000	71.1802227464	0.0140488461741	-0.242508678442	9.59168364340	0.0564528274641	5.69386380611	9.71529664176	1138.26258308	-0.966359552236	1.36546185598e-05	0.104873446799	liquid
21.0886483333	0.700000000000	70.8242755480	0.0141194525784	2.74654267342	12.6301594783	0.201600578199	5.71403438340	9.88414037657	1129.51452770	-0.935227599144	1.33157519001e-05	0.104926078332	liquid
21.3987200000	0.700000000000	70.4609548308	0.0141922572920	5.78726616086	15.7218462653	0.347134463112	5.73403402246	10.0585861804	1120.54266604	-0.903631327408	1.29887304782e-05	0.104955471196	liquid
21.7087916667	0.700000000000	70.0899435325	0.0142673820180	8.88138341326	18.8685508259	0.493127196798	5.75387252387	10.2390921885	1111.33918093	-0.871511492898	1.26728042754e-05	0.104961400660	liquid
22.0188633333	0.700000000000	69.7108954662	0.0143449598992	12.0307580426	22.0722299720	0.639655259710	5.77355619614	10.4261691998	1101.89564427	-0.838803633826	1.23672672136e-05	0.104943605447	liquid
22.3289350000	0.700000000000	69.3234316824	0.0144251370097	15.2374123828	25.3350082896	0.786799489409	5.79308904174	10.6203903209	1092.20286775	-0.805437184187	1.20714523858e-05	0.104901782235	liquid
22.6390066667	0.700000000000	68.9271362490	0.0145080740971	18.5035473093	28.6591991772	0.934645775816	5.81247387350	10.8224023839	1082.25074555	-0.771334468033	1.17847276810e-05	0.104835579350	liquid
22.9490783333	0.700000000000	68.5215513220	0.0145939486294	21.8315657166	32.0473297572	1.08328587901	5.83171337282	11.0329395871	1072.02808438	-0.736409542459	1.15064917145e-05	0.104744589447	liquid
23.2591500000	0.700000000000	68.1061713455	0.0146829572158	25.2241003830	35.5021704341	1.23281839329	5.85081110820	11.2528399460	1061.52241581	-0.700566848124	1.12361699817e-05	0.104628340972	liquid
23.5692216667	0.700000000000	67.6804361829	0.0147753184879	28.6840471463	39.0267700878	1.38334988801	5.86977253984	11.4830653341	1050.71978415	-0.663699614746	1.09732111549e-05	0.104486288118	liquid
23.8792933333	0.700000000000	67.2437229212	0.0148712765528	32.2146045802	42.6244981671	1.53499626466	5.88860604187	11.7247261501	1039.60450232	-0.625687954273	1.07170834461e-05	0.104317798937	liquid
24.1893650000	0.700000000000	66.7953360203	0.0149711051636	35.8193217086	46.2990953231	1.68788438171	5.90732398206	11.9791120010	1028.15886563	-0.586396554597	1.04672709487e-05	0.104122141127	liquid
24.4994366667	0.700000000000	66.3344953757	0.0150751127952	39.5021557685	50.0547347251	1.84215401462	5.92594390799	12.2477302885	1016.36281114	-0.545671859755	1.02232698669e-05	0.103898464933	liquid
24.8095083333	0.700000000000	65.8603217304	0.0151836488758	43.2675426774	53.8960968905	1.99796024069	5.94448990211	12.5323552942	1004.19350645	-0.503338585215	9.98458451913e-06	0.103645782374	liquid
25.1195800000	0.700000000000	65.3718186759	0.0152971115116	47.1204837542	57.8284618123	2.15547636855	5.96299418670	12.8350913807	991.624846497	-0.459195364520	9.75072298014e-06	0.103393169726	liquid
25.4296516667	0.700000000000	64.8678502185	0.0154159571596	51.0666534990	61.8578235107	2.31489757493	5.98149908647	13.1584554379	978.626830071	-0.413009248856	9.52119218674e-06	0.103117320268	liquid
25.7397233333	0.700000000000	64.3471124986	0.0155407128800	55.1125350333	65.9910340493	2.47644547248	6.00005949606	13.5054859671	965.164776943	-0.364508672940	9.29549227501e-06	0.102807968639	liquid
26.0497950000	0.700000000000	63.8080976919	0.0156719920539	59.2655924129	70.2359868506	2.64037392139	6.01874605884	13.8798896689	951.198331774	-0.313374341008	9.07310983326e-06	0.102464651303	liquid
26.3598666667	0.700000000000	63.2490472817	0.0158105148295	63.5344929126	74.6018532932	2.80697652990	6.03764935269	14.2862418495	936.680178251	-0.259227246378	8.85350962770e-06	0.102086167933	liquid
26.6699383333	0.700000000000	62.6678906207	0.0159571351468	67.9293982781	79.0993928808	2.97659649027	6.05688551848	14.7302657252	921.554352858	-0.201612668070	8.63612416296e-06	0.101670765026	liquid
26.9800100000	0.700000000000	62.0621627076	0.0161128770957	72.4623531409	83.7413671078	3.14963971076	6.07660398864	15.2192302276	905.753994574	-0.139978403740	8.42034013485e-06	0.101216160755	liquid
27.2900816667	0.700000000000	61.4288919080	0.0162789848382	77.1478135370	88.5431029237	3.32659270880	6.09699833687	15.7625307667	889.198281689	-0.0736445486117	8.20548034037e-06	0.100719493585	liquid
27.6001533333	0.700000000000	60.7644430324	0.0164569927756	82.0033829141	93.5232778570	3.50804756709	6.11832188461	16.3725615505	871.788166329	-0.00176053564238	7.99077879275e-06	0.100177215503	liquid
27.9102250000	0.700000000000	60.0642920273	0.0166488268861	87.0508650611	98.7050438813	3.69473769592	6.14091077825	17.0660699385	853.400275904	0.0767576284789	7.77534537746e-06	0.0995849289357	liquid
28.2202966667	0.700000000000	59.3226920252	0.0168569558437	92.3178189897	104.117688080	3.88759073916	6.16521922870	17.8663429485	833.877918069	0.163322064128	7.55811384088e-06	0.0989371547587	liquid
28.5303683333	0.700000000000	58.5321591753	0.0170846251717	97.8399439271	109.799181547	4.08780987915	6.19187542399	18.8069064797	813.017309472	0.259821516348	7.33776207285e-06	0.0982270098703	liquid
28.8404400000	0.700000000000	57.6826433942	0.0173362374045	103.664911028	115.800277212	4.29700471827	6.22177447720	19.9381526998	790.545509511	0.368865388556	7.11258388504e-06	0.0974457680267	liquid
29.1505116667	0.700000000000	56.7601111369	0.0176180063776	109.858886113	122.191490578	4.51741453502	6.25624220887	21.3400971292	766.082988803	0.494208926615	6.88027019621e-06	0.0965822932729	liquid
