Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.950000000000	77.7742940128	0.0128577187706	-55.7041791800	-43.4893463479	-3.19723084381	5.18227847610	6.91741294691	1298.28282585	-1.60133699025	2.73030156865e-05	0.0982408912520	liquid
14.5771433333	0.950000000000	77.2898332083	0.0129383123043	-51.4470661766	-39.1556694874	-2.89345316179	5.20567049923	7.06878688290	1286.77829084	-1.55718269303	2.52752401975e-05	0.0993151292163	liquid
14.8872150000	0.950000000000	77.0427905831	0.0129797998285	-49.2803721637	-36.9495623266	-2.74370357805	5.22876525300	7.16234554928	1280.87536707	-1.53128224972	2.43634586892e-05	0.0998207392842	liquid
15.1972866667	0.950000000000	76.7922329993	0.0130221503001	-47.0842548500	-34.7132120649	-2.59503064278	5.25547319278	7.26344778042	1274.91480739	-1.50404040361	2.35099193834e-05	0.100305161491	liquid
15.5073583333	0.950000000000	76.5379628023	0.0130654117694	-44.8567603895	-32.4446192086	-2.44726053567	5.28398106945	7.37003264031	1268.90643397	-1.47601239585	2.27086488461e-05	0.100768277206	liquid
15.8174300000	0.950000000000	76.2798030671	0.0131096300697	-42.5964631892	-30.1423146230	-2.30026365022	5.31310253839	7.48070504093	1262.84940742	-1.44756346618	2.19545425562e-05	0.101209982760	liquid
16.1275016667	0.950000000000	76.0175933659	0.0131548494989	-40.3022898944	-27.8051828704	-2.15394009165	5.34209363779	7.59455241474	1256.73637145	-1.41892474104	2.12432064395e-05	0.101630188867	liquid
16.4375733333	0.950000000000	75.7511858544	0.0132011134706	-37.9733925929	-25.4323347958	-2.00820958262	5.37051712750	7.71100834529	1250.55634421	-1.39023465397	2.05708305800e-05	0.102028819431	liquid
16.7476450000	0.950000000000	75.4804417481	0.0132484651234	-35.6090584358	-23.0230165685	-1.86300451089	5.39814387350	7.82975216218	1244.29665917	-1.36156879985	1.99340882723e-05	0.102405809952	liquid
17.0577166667	0.950000000000	75.2052282008	0.0132969478841	-33.2086459231	-20.5765454332	-1.71826519598	5.42488200893	7.95063578603	1237.94421585	-1.33296098893	1.93300550410e-05	0.102761105701	liquid
17.3677883333	0.950000000000	74.9254155634	0.0133466059878	-30.7715405062	-18.0922648178	-1.57393670775	5.45072671269	8.07363103569	1231.48624450	-1.30441781668	1.87561434074e-05	0.103094659770	liquid
17.6778600000	0.950000000000	74.6408749816	0.0133974849604	-28.2971240125	-15.5695133001	-1.42996675774	5.47572514650	8.19879218203	1224.91073644	-1.27592856161	1.82100500994e-05	0.103406431066	liquid
17.9879316667	0.950000000000	74.3514762850	0.0134496320714	-25.7847538142	-13.0076033464	-1.28630432236	5.49995243084	8.32622978517	1218.20664980	-1.24747177270	1.76897131158e-05	0.103696382296	liquid
18.2980033333	0.950000000000	74.0570861124	0.0135030967662	-23.2337487377	-10.4058068098	-1.14289875660	5.52349558052	8.45609283250	1211.36396779	-1.21901954276	1.71932766148e-05	0.103964477949	liquid
18.6080750000	0.950000000000	73.7575662257	0.0135579310865	-20.6433795080	-7.76334497578	-0.999699228676	5.54644311686	8.58855695235	1204.37366321	-1.19054018369	1.67190620357e-05	0.104210682293	liquid
18.9181466667	0.950000000000	73.4527719617	0.0136141900883	-18.0128621228	-5.07938153887	-0.856654357963	5.56887867768	8.72381705735	1197.22760589	-1.16199981089	1.62655442036e-05	0.104434957365	liquid
19.2282183333	0.950000000000	73.1425507773	0.0136719322661	-15.3413529878	-2.35301733493	-0.713711974301	5.59087740069	8.86208321129	1189.91843777	-1.13336319185	1.58313314309e-05	0.104637260954	liquid
19.5382900000	0.950000000000	72.8267408473	0.0137312199937	-12.6279449652	0.416714028870	-0.570818943029	5.61250419449	9.00357884590	1182.43943197	-1.10459410475	1.54151488397e-05	0.104817544538	liquid
