Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.0100000000000	77.0059071421	0.0129860167500	-54.0266023229	-53.8967421554	-3.07268283573	5.16165200694	7.02089405316	1269.24701958	-1.57584341187	2.55914058339e-05	0.0975627245901	liquid
14.2670716667	0.0100000000000	76.7510132565	0.0130291439497	-51.8381548560	-51.7078634165	-2.91757257435	5.17336163464	7.10048777827	1262.73110450	-1.55267366315	2.46102676963e-05	0.0980726896596	liquid
14.5101398940	0.00999999999999	76.5487357576	0.0130635730310	-50.1039082602	-49.9732725299	-2.79701834891	5.18924245415	7.17326518443	1257.54425109	-1.53225411834	2.38890421326e-05	0.0984574663505	liquid
14.5101398940	0.0100000000000	0.170416532670	5.86797527407	346.212283749	404.892036489	28.5510811417	6.26386020492	10.6348682159	312.448689220	27.7266289776	6.75757352035e-07	0.0111271063703	vapor
14.5771433333	0.0100000000000	0.169594206845	5.89642782383	346.640192836	405.604471074	28.6000672189	6.26308863151	10.6307446310	313.202656206	27.5093360849	6.79986975496e-07	0.0111836815294	vapor
14.8872150000	0.0100000000000	0.165893690186	6.02795681305	348.618250368	408.897818498	28.8236240516	6.25885163825	10.6118035986	316.673825724	26.5434002843	6.99434811154e-07	0.0114451782746	vapor
15.1972866667	0.0100000000000	0.162356932064	6.15926888546	350.592675645	412.185364500	29.0421865707	6.25387408109	10.5933820811	320.113817595	25.6402063322	7.18687440947e-07	0.0117061395367	vapor
15.5073583333	0.0100000000000	0.158972839780	6.29038269293	352.563489981	415.467316910	29.2559700669	6.24853548414	10.5757614124	323.520975207	24.7961262672	7.37758780400e-07	0.0119665464457	vapor
15.8174300000	0.0100000000000	0.155731333011	6.42131535555	354.530800041	418.743953596	29.4651815190	6.24311089522	10.5591168689	326.894240622	24.0072913166	7.56661137373e-07	0.0122263828682	vapor
16.1275016667	0.0100000000000	0.152623231498	6.55208247252	356.494769091	422.015593816	29.6700184439	6.23779344832	10.5435440931	330.233045968	23.2697525272	7.75405393779e-07	0.0124856350027	vapor
16.4375733333	0.0100000000000	0.149640156298	6.68269817904	358.455595152	425.282576942	29.8706683105	6.23271313981	10.5290803312	333.537216139	22.5795990063	7.94001172758e-07	0.0127442910364	vapor
16.7476450000	0.0100000000000	0.146774443044	6.81317523172	360.413494739	428.545247056	30.0673083619	6.22795212339	10.5157211743	336.806884169	21.9330421328	8.12456990137e-07	0.0130023408569	vapor
17.0577166667	0.0100000000000	0.144019065846	6.94352510985	362.368691037	431.803942135	30.2601057250	6.22355695102	10.5034335267	340.042419342	21.3264728146	8.30780390154e-07	0.0132597758097	vapor
17.3677883333	0.0100000000000	0.141367570468	7.07375812350	364.321405522	435.058986757	30.4492177159	6.21954822028	10.4921654839	343.244367270	20.7564977294	8.48978066098e-07	0.0135165884950	vapor
17.6778600000	0.0100000000000	0.138814015646	7.20388352248	366.271852247	438.310687472	30.6347922700	6.21592807154	10.4818537282	346.413400815	20.2199594769	8.67055966920e-07	0.0137727725972	vapor
17.9879316667	0.0100000000000	0.136352921467	7.33390960194	368.220234132	441.559330151	30.8169684457	6.21268593581	10.4724289630	349.550280498	19.7139446720	8.85019390994e-07	0.0140283227418	vapor
18.2980033333	0.0100000000000	0.133979223909	7.46384380221	370.166740752	444.805178775	30.9958769640	6.20980288095	10.4638198195	352.655823061	19.2357832352	9.02873068333e-07	0.0142832343745	vapor
18.6080750000	0.0100000000000	0.131688234717	7.59369280142	372.111547222	448.048475237	31.1716407590	6.20725485015	10.4559555898	355.730876866	18.7830414629	9.20621232476e-07	0.0145375036599	vapor
18.9181466667	0.0100000000000	0.129475605925	7.72346260017	374.054813856	451.289439857	31.3443755192	6.20501503471	10.4487680711	358.776302984	18.3535109025	9.38267683230e-07	0.0147911273952	vapor
19.2282183333	0.0100000000000	0.127337298424	7.85315859825	375.996686374	454.528272357	31.5141902104	6.20305557825	10.4421927447	361.792960902	17.9451945855	9.55815841369e-07	0.0150441029367	vapor
19.5382900000	0.0100000000000	0.125269554034	7.98278566336	377.937296482	457.765153115	31.6811875705	6.20134877013	10.4361694656	364.781697970	17.5562917929	9.73268796259e-07	0.0152964281380	vapor
19.8483616667	0.0100000000000	0.123268870649	8.11234819248	379.876762664	461.000244588	31.8454645740	6.19986785281	10.4306427988	367.743341824	17.1851822197	9.90629347298e-07	0.0155481012957	vapor
20.1584333333	0.0100000000000	0.121331980056	8.24185016629	381.815191125	464.233692787	32.0071128630	6.19858754127	10.4255621049	370.678695153	16.8304101615	1.00790003998e-06	0.0157991211039	vapor
20.4685050000	0.0100000000000	0.119455828093	8.37129519723	383.752676783	467.465628756	32.1662191458	6.19748433051	10.4208814541	373.588532284	16.4906691591	1.02508319724e-06	0.0160494866144	vapor
20.7785766667	0.0100000000000	0.117637556866	8.50068657188	385.689304282	470.696170000	32.3228655630	6.19653664944	10.4165594265	376.473597164	16.1647873877	1.04218094675e-06	0.0162991972021	vapor
21.0886483333	0.0100000000000	0.115874488761	8.63002728812	387.625148969	473.925421850	32.4771300228	6.19572490601	10.4125588413	379.334602409	15.8517139703	1.05919524459e-06	0.0165482525350	vapor
21.3987200000	0.0100000000000	0.114164112051	8.75932008785	389.560277844	477.153478723	32.6290865082	6.19503145720	10.4088464479	382.172229125	15.5505063111	1.07612789598e-06	0.0167966525481	vapor
21.7087916667	0.0100000000000	0.112504067908	8.88856748558	391.494750438	480.380425294	32.7788053570	6.19444052889	10.4053925991	384.987127316	15.2603184867	1.09298057315e-06	0.0170443974201	vapor
22.0188633333	0.0100000000000	0.110892138646	9.01777179347	393.428619626	483.606337561	32.9263535169	6.19393810448	10.4021709235	387.779916684	14.9803906896	1.10975483103e-06	0.0172914875533	vapor
22.3289350000	0.0100000000000	0.109326237076	9.14693514333	395.361932378	486.831283812	33.0717947796	6.19351179566	10.3991580068	390.551187719	14.7100396894	1.12645212090e-06	0.0175379235557	vapor
22.6390066667	0.0100000000000	0.107804396832	9.27605950576	397.294730436	490.055325494	33.2151899926	6.19315070511	10.3963330889	393.301502954	14.4486502605	1.14307380222e-06	0.0177837062250	vapor
22.9490783333	0.0100000000000	0.106324763573	9.40514670706	399.227050921	493.278517991	33.3565972544	6.19284528792	10.3936777816	396.031398327	14.1956675110	1.15962115304e-06	0.0180288365343	vapor
23.2591500000	0.0100000000000	0.104885586962	9.53419844391	401.158926881	496.500911320	33.4960720917	6.19258721642	10.3911758075	398.741384593	13.9505900435	1.17609537901e-06	0.0182733156197	vapor
23.5692216667	0.0100000000000	0.103485213342	9.66321629637	403.090387783	499.722550747	33.6336676221	6.19236925145	10.3888127622	401.431948733	13.7129638762	1.19249762130e-06	0.0185171447686	vapor
23.8792933333	0.0100000000000	0.102122079041	9.79220173925	405.021459940	502.943477333	33.7694347032	6.19218512185	10.3865758989	404.103555349	13.4823770528	1.20882896350e-06	0.0187603254099	vapor
24.1893650000	0.0100000000000	0.100794704233	9.92115615208	406.952166897	506.163728418	33.9034220693	6.19202941333	10.3844539350	406.756648009	13.2584548739	1.22509043766e-06	0.0190028591045	vapor
24.4994366667	0.0100000000000	0.0995016873113	10.0500808280	408.882529770	509.383338050	34.0356764568	6.19189746685	10.3824368787	409.391650535	13.0408556840	1.24128302959e-06	0.0192447475372	vapor
24.8095083333	0.0100000000000	0.0982416997135	10.1789769814	410.812567542	512.602337357	34.1662427207	6.19178528684	10.3805158750	412.008968226	12.8292671563	1.25740768348e-06	0.0194859925090	vapor
25.1195800000	0.0100000000000	0.0970134811635	10.3078457551	412.742297328	515.820754879	34.2951639405	6.19168945856	10.3786830687	414.608989015	12.6234030179	1.27346530598e-06	0.0197265959305	vapor
25.4296516667	0.0100000000000	0.0958158352854	10.4366882261	414.671734601	519.038616863	34.4224815195	6.19160707440	10.3769314840	417.192084540	12.4230001670	1.28945676974e-06	0.0199665598156	vapor
25.7397233333	0.0100000000000	0.0946476255580	10.5655054113	416.600893398	522.255947511	34.5482352757	6.19153566836	10.3752549177	419.758611163	12.2278161358	1.30538291661e-06	0.0202058862756	vapor
26.0497950000	0.0100000000000	0.0935077715766	10.6942982721	418.529786491	525.472769212	34.6724635265	6.19147315818	10.3736478453	422.308910902	12.0376268591	1.32124456032e-06	0.0204445775145	vapor
26.3598666667	0.0100000000000	0.0923952455965	10.8230677189	420.458425547	528.689102736	34.7952031673	6.19141779425	10.3721053392	424.843312303	11.8522247109	1.33704248899e-06	0.0206826358238	vapor
26.6699383333	0.0100000000000	0.0913090693326	10.9518146150	422.386821257	531.904967408	34.9164897445	6.19136811491	10.3706229962	427.362131247	11.6714167780	1.35277746719e-06	0.0209200635784	vapor
26.9800100000	0.0100000000000	0.0902483109916	11.0805397798	424.314983461	535.120381259	35.0363575237	6.19132290721	10.3691968745	429.865671697	11.4950233408	1.36845023791e-06	0.0211568632326	vapor
27.2900816667	0.0100000000000	0.0892120825192	11.2092439921	426.242921245	538.335361166	35.1548395530	6.19128117284	10.3678234388	432.354226389	11.3228765363	1.38406152418e-06	0.0213930373162	vapor
27.6001533333	0.0100000000000	0.0881995370422	11.3379279930	428.170643032	541.549922962	35.2719677226	6.19124209836	10.3664995116	434.828077466	11.1548191808	1.39961203059e-06	0.0216285884314	vapor
27.9102250000	0.0100000000000	0.0872098664898	11.4665924883	430.098156665	544.764081548	35.3877728200	6.19120502948	10.3652222318	437.287497069	10.9907037320	1.41510244456e-06	0.0218635192495	vapor
28.2202966667	0.0100000000000	0.0862422993804	11.5952381509	432.025469472	547.977850981	35.5022845822	6.19116944876	10.3639890176	439.732747878	10.8303913742	1.43053343754e-06	0.0220978325079	vapor
