Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.00100000000000	0.0174078396286	57.4453821573	344.288670654	401.734052812	37.7513131200	6.19357947495	10.3427036622	309.399092646	28.2252380603	6.56625793613e-07	0.0104659285882	vapor
14.2670716667	0.00100000000000	0.0170276590498	58.7279788181	346.212840575	404.940819393	37.9785586027	6.19355789940	10.3413095507	312.830626605	27.2928338826	6.74978157079e-07	0.0107332071794	vapor
14.5771433333	0.00100000000000	0.0166637866137	60.0103699826	348.136767423	408.147137406	38.2008868828	6.19334941368	10.3398220589	316.226283680	26.4051016190	6.93260072506e-07	0.0109997199060	vapor
14.8872150000	0.00100000000000	0.0163151912017	61.2925700738	350.060417740	411.352987813	38.4185036761	6.19301642659	10.3383021112	319.586827431	25.5636097086	7.11471447998e-07	0.0112654683017	vapor
15.1972866667	0.00100000000000	0.0159809269278	62.5745931084	351.983774706	414.558367814	38.6316030551	6.19260686301	10.3367940724	322.913039791	24.7684201205	7.29612218448e-07	0.0115304540325	vapor
15.5073583333	0.00100000000000	0.0156601245731	63.8564524396	353.906833789	417.763286229	38.8403680893	6.19215671029	10.3353290701	326.205716825	24.0185200840	7.47682342267e-07	0.0117946788841	vapor
15.8174300000	0.00100000000000	0.0153519840096	65.1381606035	355.829599254	420.967759858	39.0449714838	6.19169233186	10.3339278821	329.465662890	23.3121629979	7.65681800176e-07	0.0120581447507	vapor
16.1275016667	0.00100000000000	0.0150557674869	66.4197292412	357.752081415	424.171810657	39.2455762074	6.19123247947	10.3326033614	332.693684432	22.6471320696	7.83610595145e-07	0.0123208536252	vapor
16.4375733333	0.00100000000000	0.0147707936758	67.7011690738	359.674294528	427.375463602	39.4423361028	6.19078998988	10.3313624212	335.890584116	22.0209400084	8.01468752891e-07	0.0125828075905	vapor
16.7476450000	0.00100000000000	0.0144964323733	68.9824899155	361.596255185	430.578745101	39.6353964738	6.19037318164	10.3302076251	339.057155664	21.4309769588	8.19256322561e-07	0.0128440088129	vapor
17.0577166667	0.00100000000000	0.0142320997883	70.2637007098	363.517981138	433.781681848	39.8248946435	6.18998698318	10.3291384386	342.194179542	20.8746173252	8.36973377378e-07	0.0131044595347	vapor
17.3677883333	0.00100000000000	0.0139772543369	71.5448095810	365.439490439	436.984300020	40.0109604828	6.18963382903	10.3281521979	345.302419538	20.3492945012	8.54620015139e-07	0.0133641620693	vapor
17.6778600000	0.00100000000000	0.0137313928841	72.8258238940	367.360800842	440.186624736	40.1937169075	6.18931436139	10.3272448460	348.382620150	19.8525509472	8.72196358487e-07	0.0136231187962	vapor
17.9879316667	0.00100000000000	0.0134940473806	74.1067503170	369.281929395	443.388679712	40.3732803422	6.18902797178	10.3264114851	351.435504716	19.3820696433	8.89702554954e-07	0.0138813321561	vapor
18.2980033333	0.00100000000000	0.0132647818454	75.3875948849	371.202892187	446.590487072	40.5497611541	6.18877321349	10.3256467814	354.461774170	18.9356917207	9.07138776762e-07	0.0141388046478	vapor
18.6080750000	0.00100000000000	0.0130431896559	76.6683630601	373.123704196	449.792067256	40.7232640548	6.18854811109	10.3249452565	357.462106320	18.5114240403	9.24505220426e-07	0.0143955388242	vapor
18.9181466667	0.00100000000000	0.0128288911077	77.9490597904	375.044379219	452.993439009	40.8938884740	6.18835038896	10.3243014913	360.437155545	18.1074396395	9.41802106157e-07	0.0146515372898	vapor
19.2282183333	0.00100000000000	0.0126215312154	79.2296895624	376.964929863	456.194619426	41.0617289049	6.18817763698	10.3237102631	363.387552829	17.7220732783	9.59029677112e-07	0.0149068026977	vapor
19.5382900000	0.00100000000000	0.0124207777256	80.5102564503	378.885367572	459.395624023	41.2268752244	6.18802742778	10.3231666337	366.313906052	17.3538137675	9.76188198527e-07	0.0151613377471	vapor
19.8483616667	0.00100000000000	0.0122263193193	81.7907641609	380.805702674	462.596466835	41.3894129883	6.18789739722	10.3226660002	369.216800471	17.0012943298	9.93277956728e-07	0.0154151451816	vapor
20.1584333333	0.00100000000000	0.0120378639831	83.0712160731	382.725944456	465.797160529	41.5494237050	6.18778529732	10.3222041201	372.096799343	16.6632819086	1.01029925809e-06	0.0156682277870	vapor
20.4685050000	0.00100000000000	0.0118551375306	84.3516152738	384.646101236	468.997716509	41.7069850879	6.18768902872	10.3217771175	374.954444644	16.3386660773	1.02725242794e-06	0.0159205883896	vapor
20.7785766667	0.00100000000000	0.0116778822580	85.6319645901	386.566180447	472.198145037	41.8621712898	6.18760665813	10.3213814757	377.790257849	16.0264480083	1.04413780940e-06	0.0161722298549	vapor
21.0886483333	0.00100000000000	0.0115058557201	86.9122666168	388.486188718	475.398455335	42.0150531181	6.18753642522	10.3210140224	380.604740755	15.7257298101	1.06095576227e-06	0.0164231550857	vapor
21.3987200000	0.00100000000000	0.0113388296147	88.1925237422	390.406131952	478.598655694	42.1656982360	6.18747674197	10.3206719088	383.398376309	15.4357044301	1.07770666185e-06	0.0166733670214	vapor
21.7087916667	0.00100000000000	0.0111765887628	89.4727381695	392.326015400	481.798753569	42.3141713471	6.18742618701	10.3203525863	386.171629441	15.1556462394	1.09439089782e-06	0.0169228686367	vapor
22.0188633333	0.00100000000000	0.0110189301771	90.7529119365	394.245843731	484.998755668	42.4605343681	6.18738349671	10.3200537815	388.924947889	14.8849023602	1.11100887311e-06	0.0171716629404	vapor
22.3289350000	0.00100000000000	0.0108656622086	92.0330469328	396.165621099	488.198668032	42.6048465879	6.18734755437	10.3197734712	391.658762993	14.6228847503	1.12756100282e-06	0.0174197529746	vapor
22.6390066667	0.00100000000000	0.0107166037638	93.3131449145	398.085351198	491.398496113	42.7471648160	6.18731737842	10.3195098587	394.373490474	14.3690630343	1.14404771313e-06	0.0176671418139	vapor
22.9490783333	0.00100000000000	0.0105715835866	94.5932075178	400.005037317	494.598244835	42.8875435203	6.18729211038	10.3192613506	397.069531173	14.1229580512	1.16046944032e-06	0.0179138325646	vapor
23.2591500000	0.00100000000000	0.0104304395981	95.8732362707	401.924682388	497.797918659	43.0260349556	6.18727100299	10.3190265350	399.747271763	13.8841360758	1.17682662977e-06	0.0181598283639	vapor
23.5692216667	0.00100000000000	0.0102930182888	97.1532326029	403.844289030	500.997521632	43.1626892828	6.18725340880	10.3188041624	402.407085428	13.6522036651	1.19311973501e-06	0.0184051323796	vapor
23.8792933333	0.00100000000000	0.0101591741586	98.4331978553	405.763859584	504.197057439	43.2975546806	6.18723876954	10.3185931276	405.049332500	13.4268030783	1.20934921685e-06	0.0186497478088	vapor
24.1893650000	0.00100000000000	0.0100287692005	99.7131332877	407.683396153	507.396529440	43.4306774494	6.18722660621	10.3183924530	407.674361073	13.2076082176	1.22551554252e-06	0.0188936778783	vapor
24.4994366667	0.00100000000000	0.00990167242363	100.993040086	409.602900625	510.595940711	43.5621021088	6.18721651008	10.3182012746	410.282507573	12.9943210397	1.24161918486e-06	0.0191369258434	vapor
24.8095083333	0.00100000000000	0.00977775941244	102.272919369	411.522374706	513.795294075	43.6918714882	6.18720813458	10.3180188286	412.874097302	12.7866683884	1.25766062157e-06	0.0193794949876	vapor
25.1195800000	0.00100000000000	0.00965691191862	103.552772193	413.441819940	516.994592133	43.8200268121	6.18720118796	10.3178444401	415.449444953	12.5843992046	1.27364033450e-06	0.0196213886223	vapor
25.4296516667	0.00100000000000	0.00953901748326	104.832599558	415.361237732	520.193837290	43.9466077801	6.18719542683	10.3176775130	418.008855085	12.3872820703	1.28955880896e-06	0.0198626100864	vapor
25.7397233333	0.00100000000000	0.00942396908641	106.112402410	417.280629365	523.393031775	44.0716526411	6.18719065048	10.3175175206	420.552622585	12.1951030496	1.30541653310e-06	0.0201031627459	vapor
26.0497950000	0.00100000000000	0.00931166482185	107.392181649	419.199996017	526.592177665	44.1951982645	6.18718669585	10.3173639983	423.081033091	12.0076637914	1.32121399732e-06	0.0203430499935	vapor
26.3598666667	0.00100000000000	0.00920200759499	108.671938126	421.119338776	529.791276902	44.3172802054	6.18718343318	10.3172165367	425.594363394	11.8247798632	1.33695169371e-06	0.0205822752484	vapor
26.6699383333	0.00100000000000	0.00909490484187	109.951672655	423.038658653	532.990331308	44.4379327670	6.18718076224	10.3170747754	428.092881819	11.6462792877	1.35263011555e-06	0.0208208419560	vapor
26.9800100000	0.00100000000000	0.00899026826779	111.231386007	424.957956593	536.189342600	44.5571890590	6.18717860914	10.3169383978	430.576848581	11.4720012576	1.36824975680e-06	0.0210587535872	vapor
27.2900816667	0.00100000000000	0.00888801360373	112.511078919	426.877233485	539.388312404	44.6750810527	6.18717692353	10.3168071273	433.046516119	11.3017950072	1.38381111167e-06	0.0212960136390	vapor
27.6001533333	0.00100000000000	0.00878806037932	113.790752093	428.796490171	542.587242264	44.7916396327	6.18717567631	10.3166807227	435.502129417	11.1355188199	1.39931467422e-06	0.0215326256335	vapor
27.9102250000	0.00100000000000	0.00869033171104	115.070406200	430.715727458	545.786133657	44.9068946461	6.18717485769	10.3165589756	437.943926297	10.9730391564	1.41476093795e-06	0.0217685931178	vapor
28.2202966667	0.00100000000000	0.00859475410442	116.350041880	432.634946119	548.984987999	45.0208749484	6.18717447555	10.3164417072	440.372137703	10.8142298868	1.43015039544e-06	0.0220039196642	vapor
28.5303683333	0.00100000000000	0.00850125726923	117.629659747	434.554146906	552.183806653	45.1336084474	6.18717455419	10.3163287663	442.786987965	10.6589716143	1.44548353804e-06	0.0222386088694	vapor
28.8404400000	0.00100000000000	0.00840977394658	118.909260386	436.473330556	555.382590942	45.2451221443	6.18717513324	10.3162200270	445.188695051	10.5071510794	1.46076085557e-06	0.0224726643547	vapor
29.1505116667	0.00100000000000	0.00832023974717	120.188844359	438.392497793	558.581342152	45.3554421729	6.18717626685	10.3161153875	447.577470799	10.3586606327	1.47598283601e-06	0.0227060897657	vapor
29.4605833333	0.00100000000000	0.00823259299979	121.468412203	440.311649338	561.780061541	45.4645938364	6.18717802311	10.3160147683	449.953521145	10.2133977690	1.49114996527e-06	0.0229388887719	vapor
29.7706550000	0.00100000000000	0.00814677460928	122.747964435	442.230785911	564.978750346	45.5726016424	6.18718048354	10.3159181113	452.317046327	10.0712647153	1.50626272694e-06	0.0231710650668	vapor
30.0807266667	0.00100000000000	0.00806272792336	124.027501549	444.149908242	568.177409790	45.6794893365	6.18718374287	10.3158253793	454.668241093	9.93216806382	1.52132160206e-06	0.0234026223676	vapor
30.3907983333	0.00100000000000	0.00798039860759	125.307024019	446.069017068	571.376041087	45.7852799331	6.18718790879	10.3157365545	457.007294880	9.79601844657	1.53632706897e-06	0.0236335644151	vapor
30.7008700000	0.00100000000000	0.00789973452802	126.586532301	447.988113146	574.574645447	45.8899957458	6.18719310200	10.3156516387	459.334391998	9.66273024482	1.55127960307e-06	0.0238638949731	vapor
31.0109416667	0.00100000000000	0.00782068564080	127.866026833	449.907197252	577.773224086	45.9936584156	6.18719945613	10.3155706526	461.649711798	9.53222132973	1.56617967669e-06	0.0240936178289	vapor
31.3210133333	0.00100000000000	0.00774320388845	129.145508036	451.826270191	580.971778227	46.0962889377	6.18720711794	10.3154936354	463.953428832	9.40441282991	1.58102775895e-06	0.0243227367926	vapor
31.6310850000	0.00100000000000	0.00766724310222	130.424976314	453.745332796	584.170309110	46.1979076876	6.18721624745	10.3154206449	466.245713001	9.27922892278	1.59582431557e-06	0.0245512556972	vapor
31.9411566667	0.00100000000000	0.00759275891017	131.704432056	455.664385939	587.368817994	46.2985344449	6.18722701821	10.3153517572	468.526729705	9.15659664668	1.61056980885e-06	0.0247791783981	vapor
32.2512283333	0.00100000000000	0.00751970865054	132.983875636	457.583430531	590.567306167	46.3981884168	6.18723961752	10.3152870668	470.796639976	9.03644573112	1.62526469743e-06	0.0250065087734	vapor
32.5613000000	0.00100000000000	0.00744805129010	134.263307414	459.502467531	593.765774946	46.4968882601	6.18725424674	10.3152266866	473.055600606	8.91870844320	1.63990943632e-06	0.0252332507234	vapor
32.8713716667	0.00100000000000	0.00737774734720	135.542727738	461.421497949	596.964225687	46.5946521024	6.18727112165	10.3151707478	475.303764279	8.80331944794	1.65450447672e-06	0.0254594081703	vapor
33.1814433333	0.00100000000000	0.00730875881900	136.822136941	463.340522851	600.162659792	46.6914975620	6.18729047274	10.3151194001	477.541279677	8.69021568107	1.66905026600e-06	0.0256849850584	vapor
33.4915150000	0.00100000000000	0.00724104911293	138.101535344	465.259543363	603.361078708	46.7874417668	6.18731254559	10.3150728122	479.768291601	8.57933623286	1.68354724759e-06	0.0259099853537	vapor
33.8015866667	0.00100000000000	0.00717458298178	139.380923259	467.178560681	606.559483940	46.8825013732	6.18733760115	10.3150311711	481.984941076	8.47062224145	1.69799586099e-06	0.0261344130437	vapor
34.1116583333	0.00100000000000	0.00710932646245	140.660300984	469.097576070	609.757877054	46.9766925828	6.18736591617	10.3149946833	484.191365451	8.36401679489	1.71239654162e-06	0.0263582721370	vapor
34.4217300000	0.00100000000000	0.00704524681795	141.939668806	471.016590876	612.956259682	47.0700311595	6.18739778343	10.3149635741	486.387698497	8.25946484070	1.72674972086e-06	0.0265815666639	vapor
34.7318016667	0.00100000000000	0.00698231248256	143.219027005	472.935606524	616.154633529	47.1625324449	6.18743351214	10.3149380880	488.574070504	8.15691310220	1.74105582600e-06	0.0268043006750	vapor
35.0418733333	0.00100000000000	0.00692049300989	144.498375849	474.854624531	619.353000380	47.2542113743	6.18747342817	10.3149184892	490.750608364	8.05631000097	1.75531528018e-06	0.0270264782422	vapor
35.3519450000	0.00100000000000	0.00685975902366	145.777715595	476.773646507	622.551362102	47.3450824901	6.18751787435	10.3149050613	492.917435664	7.95760558453	1.76952850239e-06	0.0272481034577	vapor
35.6620166667	0.00100000000000	0.00680008217110	147.057046494	478.692674162	625.749720656	47.4351599568	6.18756721070	10.3148981074	495.074672764	7.86075145897	1.78369590744e-06	0.0274691804339	vapor
35.9720883333	0.00100000000000	0.00674143507875	148.336368788	480.611709312	628.948078100	47.5244575733	6.18762181469	10.3148979507	497.222436876	7.76570072593	1.79781790598e-06	0.0276897133037	vapor
36.2821600000	0.00100000000000	0.00668379131049	149.615682709	482.530753884	632.146436592	47.6129887863	6.18768208138	10.3149049340	499.360842142	7.67240792339	1.81189490444e-06	0.0279097062196	vapor
36.5922316667	0.00100000000000	0.00662712532777	150.894988482	484.449809922	635.344798404	47.7007667021	6.18774842359	10.3149194201	501.489999709	7.58082897012	1.82592730508e-06	0.0281291633538	vapor
36.9023033333	0.00100000000000	0.00657141245183	152.174286324	486.368879595	638.543165920	47.7878040985	6.18782127203	10.3149417915	503.610017796	7.49092111325	1.83991550595e-06	0.0283480888982	vapor
37.2123750000	0.00100000000000	0.00651662882778	153.453576447	488.287965199	641.741541646	47.8741134357	6.18790107541	10.3149724510	505.721001764	7.40264287877	1.85385990093e-06	0.0285664870638	vapor
37.5224466667	0.00100000000000	0.00646275139051	154.732859053	490.207069166	644.939928219	47.9597068671	6.18798830043	10.3150118209	507.823054186	7.31595402476	1.86776087971e-06	0.0287843620804	vapor
37.8325183333	0.00100000000000	0.00640975783227	156.012134338	492.126194069	648.138328406	48.0445962498	6.18808343185	10.3150603434	509.916274906	7.23081549692	1.88161882782e-06	0.0290017181969	vapor
38.1425900000	0.00100000000000	0.00635762657181	157.291402492	494.045342625	651.336745117	48.1287931539	6.18818697243	10.3151184803	512.000761105	7.14718938649	1.89543412661e-06	0.0292185596804	vapor
38.4526616667	0.00100000000000	0.00630633672502	158.570663700	495.964517708	654.535181408	48.2123088727	6.18829944289	10.3151867132	514.076607360	7.06503889011	1.90920715334e-06	0.0294348908165	vapor
38.7627333333	0.00100000000000	0.00625586807706	159.849918138	497.883722347	657.733640485	48.2951544309	6.18842138180	10.3152655428	516.143905704	6.98432827162	1.92293828111e-06	0.0296507159087	vapor
39.0728050000	0.00100000000000	0.00620620105567	161.129165979	499.802959735	660.932125715	48.3773405942	6.18855334544	10.3153554890	518.202745686	6.90502282564	1.93662787896e-06	0.0298660392781	vapor
39.3828766667	0.00100000000000	0.00615731670589	162.408407390	501.722233237	664.130640627	48.4588778769	6.18869590761	10.3154570908	520.253214422	6.82708884275	1.95027631183e-06	0.0300808652634	vapor
39.6929483333	0.00100000000000	0.00610919666588	163.687642532	503.641546390	667.329188922	48.5397765501	6.18884965943	10.3155709057	522.295396654	6.75049357621	1.96388394065e-06	0.0302951982204	vapor
40.0030200000	0.00100000000000	0.00606182314391	164.966871560	505.560902916	670.527774475	48.6200466500	6.18901520910	10.3156975095	524.329374803	6.67520521009	1.97745112230e-06	0.0305090425218	vapor
40.3130916667	0.00100000000000	0.00601517889638	166.246094626	507.480306718	673.726401344	48.6996979843	6.18919318156	10.3158374961	526.355229020	6.60119282876	1.99097820968e-06	0.0307224025571	vapor
40.6231633333	0.00100000000000	0.00596924720688	167.525311876	509.399761896	676.925073773	48.7787401403	6.18938421823	10.3159914768	528.373037243	6.52842638761	2.00446555176e-06	0.0309352827318	vapor
40.9332350000	0.00100000000000	0.00592401186617	168.804523453	511.319272743	680.123796197	48.8571824911	6.18958897660	10.3161600804	530.382875240	6.45687668490	2.01791349356e-06	0.0311476874676	vapor
41.2433066667	0.00100000000000	0.00587945715311	170.083729494	513.238843756	683.322573250	48.9350342024	6.18980812986	10.3163439523	532.384816667	6.38651533482	2.03132237619e-06	0.0313596212019	vapor
41.5533783333	0.00100000000000	0.00583556781641	171.362930131	515.158479638	686.521409770	49.0123042389	6.19004236647	10.3165437541	534.378933109	6.31731474149	2.04469253695e-06	0.0315710883874	vapor
41.8634500000	0.00100000000000	0.00579232905718	172.642125495	517.078185304	689.720310799	49.0890013703	6.19029238969	10.3167601633	536.365294136	6.24924807404	2.05802430927e-06	0.0317820934920	vapor
