Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
13.9570000000	0.100000000000	77.0816533944	0.0129732557095	-54.1982344597	-52.9009088887	-3.08503027377	5.16392692153	7.01022899073	1272.07172783	-1.57851789770	2.57552613668e-05	0.0976288990528	liquid
14.2670716667	0.100000000000	76.8282275837	0.0130160493278	-52.0171241376	-50.7155192048	-2.93016721484	5.17511721299	7.08865087430	1265.64372865	-1.55563079893	2.47675753461e-05	0.0981425774076	liquid
14.5771433333	0.100000000000	76.5713108523	0.0130597215702	-49.8094049316	-48.5034327746	-2.77678325431	5.19567864379	7.18160765087	1259.10443365	-1.52958842337	2.38483436232e-05	0.0986348638523	liquid
14.8872150000	0.100000000000	76.3106096807	0.0131043377085	-47.5712586709	-46.2608249001	-2.62455632183	5.22177995568	7.28494085241	1252.50096711	-1.50153028451	2.29897165153e-05	0.0991055695671	liquid
15.1972866667	0.100000000000	76.0458612412	0.0131499595597	-45.2999520527	-43.9849560967	-2.47325646765	5.25081066070	7.39574644378	1245.85507627	-1.47223978845	2.21851014201e-05	0.0995545176293	liquid
15.5073583333	0.100000000000	75.7768284143	0.0131966462694	-42.9935012904	-41.6738366635	-2.32271655459	5.28104133153	7.51204444485	1239.17138275	-1.44223767091	2.14289199147e-05	0.0999815443676	liquid
15.8174300000	0.100000000000	75.5032946792	0.0132444551493	-40.6504263090	-39.3259807941	-2.17281157268	5.31136897996	7.63252867430	1232.44360938	-1.41185690772	2.07164154563e-05	0.100386499279	liquid
16.1275016667	0.100000000000	75.2250591916	0.0132934425143	-38.2695723626	-36.9402281112	-2.02344418603	5.34112857292	7.75637950409	1225.65902826	-1.38129953926	2.00435009292e-05	0.100769243941	liquid
16.4375733333	0.100000000000	74.9419322099	0.0133436644948	-35.8499818201	-34.5156153706	-1.87453473959	5.36995516466	7.88312536136	1218.80150476	-1.35067820145	1.94066375171e-05	0.101129650252	liquid
16.7476450000	0.100000000000	74.6537309305	0.0133951778101	-33.3908028546	-32.0512850736	-1.72601442566	5.39768426635	8.01254145903	1211.85349839	-1.32004566071	1.88027381843e-05	0.101467598215	liquid
17.0577166667	0.100000000000	74.3602757347	0.0134480405044	-30.8912249612	-29.5464209107	-1.57782066584	5.42428077511	8.14457666386	1204.79731844	-1.28941535525	1.82290904951e-05	0.101782973443	liquid
17.3677883333	0.100000000000	74.0613868106	0.0135023126499	-28.3504337188	-27.0002024538	-1.42989402807	5.44978901333	8.27930145244	1197.61586190	-1.25877539063	1.76832946405e-05	0.102075664478	liquid
17.6778600000	0.100000000000	73.7568810961	0.0135580570265	-25.7675791333	-24.4117734306	-1.28217619212	5.47429821719	8.41687156553	1190.29299931	-1.22809786845	1.71632134446e-05	0.102345559989	liquid
17.9879316667	0.100000000000	73.4465694770	0.0136153397922	-23.1417533550	-21.7802193758	-1.13460861821	5.49791921760	8.55750329005	1182.81372630	-1.19734493909	1.66669318240e-05	0.102592545864	liquid
18.2980033333	0.100000000000	73.1302541718	0.0136742311554	-20.4719746631	-19.1045515476	-0.987131675033	5.52076914371	8.70145732883	1175.16416263	-1.16647258251	1.61927237243e-05	0.102816502226	liquid
18.6080750000	0.100000000000	72.8077262314	0.0137348060674	-17.7571754202	-16.3836948134	-0.839684056299	5.54296180847	8.84902901491	1167.33145446	-1.13543282964	1.57390249888e-05	0.103017300316	liquid
18.9181466667	0.100000000000	72.4787630871	0.0137971449485	-14.9961922981	-13.6164778033	-0.692202366496	5.56460206326	9.00054323790	1159.30361746	-1.10417492184	1.53044109439e-05	0.103194799254	liquid
19.2282183333	0.100000000000	72.1431260727	0.0138613344671	-12.1877575082	-10.8016240615	-0.544620792782	5.58578287889	9.15635291745	1151.06934562	-1.07264575128	1.48875777473e-05	0.103348842592	liquid
19.5382900000	0.100000000000	71.8005578550	0.0139274683912	-9.33049006896	-7.93774322984	-0.396870804782	5.60658425953	9.31684021728	1142.61780125	-1.04078981390	1.44873267474e-05	0.103479254631	liquid
19.8483616667	0.100000000000	71.4507796949	0.0139956485327	-6.42288635456	-5.02332150128	-0.248880841022	5.62707335519	9.48241997105	1133.93839584	-1.00854882782	1.41025512556e-05	0.103585836415	liquid
20.1584333333	0.100000000000	71.0934884637	0.0140659858112	-3.46330929131	-2.05671071019	-0.100575951554	5.64730532731	9.65354501111	1125.02056649	-0.975861113781	1.37322252573e-05	0.103668361314	liquid
20.3243974952	0.100000000000	70.8990497767	0.0141045613890	-1.85724495416	-0.446788815254	-0.0210399992933	5.65804456976	9.74758794928	1120.14566435	-0.958158970391	1.35396128669e-05	0.103702559632	liquid
20.3243974952	0.100000000000	1.31644513082	0.759621481052	372.504927808	448.467075913	22.0663977629	6.44712656903	12.0184373641	356.172830008	18.3252155950	9.93840173426e-07	0.0173959177026	vapor
20.4685050000	0.100000000000	1.30453631030	0.766555895842	373.539638082	450.195227666	22.1511263929	6.43354793375	11.9662389872	357.858684403	18.0961424158	1.00298101861e-06	0.0174962948769	vapor
20.7785766667	0.100000000000	1.27976816129	0.781391528755	375.750156005	453.889308880	22.3302513517	6.40723797396	11.8630011626	361.429955302	17.6245587754	1.02243080898e-06	0.0177134358569	vapor
21.0886483333	0.100000000000	1.25609146680	0.796120367372	377.941084760	457.553121498	22.5052768001	6.38445893901	11.7707323012	364.929140051	17.1798643511	1.04160212808e-06	0.0179319513314	vapor
21.3987200000	0.100000000000	1.23342239103	0.810752267247	380.114602067	461.189828792	22.6764713561	6.36473747149	11.6879407038	368.361342905	16.7596401905	1.06051634292e-06	0.0181516180718	vapor
21.7087916667	0.100000000000	1.21168677639	0.825295793836	382.272589387	464.802168771	22.8440723081	6.34766167500	11.6133674303	371.731200588	16.3617348559	1.07919234168e-06	0.0183722470801	vapor
22.0188633333	0.100000000000	1.19081865040	0.839758429769	384.416676790	468.392519767	23.0082903929	6.33287351165	11.5459453883	375.042923654	15.9842310105	1.09764687813e-06	0.0185936772324	vapor
22.3289350000	0.100000000000	1.17075901460	0.854146743716	386.548280290	471.962954661	23.1693137272	6.32006206589	11.4847666052	378.300334858	15.6254168287	1.11589486060e-06	0.0188157702851	vapor
22.6390066667	0.100000000000	1.15145485377	0.868466528866	388.668633099	475.515285986	23.3273110624	6.30895758927	11.4290558048	381.506904805	15.2837613569	1.13394959565e-06	0.0190384069164	vapor
22.9490783333	0.100000000000	1.13285831887	0.882722917190	390.778811902	479.051103621	23.4824344923	6.29932624785	11.3781488988	384.665784968	14.9578931575	1.15182299491e-06	0.0192614835653	vapor
23.2591500000	0.100000000000	1.11492604831	0.896920474248	392.879759024	482.571806449	23.6348217178	6.29096549986	11.3314753559	387.779838183	14.6465817173	1.16952575119e-06	0.0194849098861	vapor
23.5692216667	0.100000000000	1.09761860001	0.911063278256	394.972301211	486.078629037	23.7845979498	6.28370003657	11.2885436599	390.851666672	14.3487212067	1.18706748930e-06	0.0197086066860	vapor
23.8792933333	0.100000000000	1.08089997326	0.925154986343	397.057165578	489.572664213	23.9318775134	6.27737822485	11.2489292522	393.883637703	14.0633162546	1.20445689552e-06	0.0199325042411	vapor
24.1893650000	0.100000000000	1.06473720349	0.939198890322	399.134993187	493.054882220	24.0767652074	6.27186899493	11.2122644847	396.877906970	13.7894694641	1.22170182924e-06	0.0201565409136	vapor
24.4994366667	0.100000000000	1.04910001693	0.953197963838	401.206350639	496.526147023	24.2193574591	6.26705912209	11.1782302152	399.836439827	13.5263704360	1.23880941958e-06	0.0203806620087	vapor
24.8095083333	0.100000000000	1.03396053470	0.967154902373	403.271739986	499.987230223	24.3597433107	6.26285085581	11.1465487488	402.761030504	13.2732861083	1.25578614906e-06	0.0206048188244	vapor
25.1195800000	0.100000000000	1.01929301787	0.981072157336	405.331607228	503.438822961	24.4980052625	6.25915985463	11.1169778916	405.653319436	13.0295522411	1.27263792655e-06	0.0208289678573	vapor
25.4296516667	0.100000000000	1.00507364674	0.994951965206	407.386349603	506.881546124	24.6342199981	6.25591338941	11.0893059245	408.514808868	12.7945659069	1.28937015076e-06	0.0210530701342	vapor
25.7397233333	0.100000000000	0.991280328934	1.00879637254	409.436321861	510.315959115	24.7684590096	6.25304878160	11.0633473454	411.346876856	12.5677788609	1.30598776580e-06	0.0212770906488	vapor
26.0497950000	0.100000000000	0.977892531722	1.02260725751	411.481841660	513.742567411	24.9007891374	6.25051204706	11.0389392519	414.150789819	12.3486916827	1.32249530988e-06	0.0215009978819	vapor
26.3598666667	0.100000000000	0.964891134925	1.03638634847	413.523194228	517.161829075	25.0312730399	6.24825671928	11.0159382609	416.927713776	12.1368485981	1.33889695802e-06	0.0217247633932	vapor
26.6699383333	0.100000000000	0.952258301379	1.05013524015	415.560636379	520.574160394	25.1599696011	6.24624282897	10.9942178813	419.678724387	11.9318328958	1.35519655971e-06	0.0219483614710	vapor
26.9800100000	0.100000000000	0.939977362426	1.06385540756	417.594400000	523.979940756	25.2869342871	6.24443601981	10.9736662673	422.404815925	11.7332628698	1.37139767207e-06	0.0221717688308	vapor
27.2900816667	0.100000000000	0.928032716324	1.07754821830	419.624695059	527.379516889	25.4122194588	6.24280678264	10.9541842942	425.106909276	11.5407882240	1.38750358912e-06	0.0223949643547	vapor
27.6001533333	0.100000000000	0.916409737814	1.09121494320	421.651712219	530.773206539	25.5358746463	6.24132979249	10.9356839070	427.785859088	11.3540868825	1.40351736778e-06	0.0226179288656	vapor
27.9102250000	0.100000000000	0.905094697369	1.10485676571	423.675625109	534.161301681	25.6579467907	6.23998333495	10.9180867015	430.442460142	11.1728621600	1.41944185081e-06	0.0228406449302	vapor
28.2202966667	0.100000000000	0.894074688873	1.11847479013	425.696592299	537.544071312	25.7784804585	6.23874880999	10.9013227024	433.077453038	10.9968402463	1.43527968724e-06	0.0230630966866	vapor
28.5303683333	0.100000000000	0.883337564642	1.13207004890	427.714759014	540.921763905	25.8975180317	6.23761030304	10.8853293094	435.691529264	10.8257679718	1.45103335057e-06	0.0232852696940	vapor
28.8404400000	0.100000000000	0.872871876915	1.14564350903	429.730258638	544.294609541	26.0150998767	6.23655421421	10.8700503876	438.285335730	10.6594108169	1.46670515495e-06	0.0235071507990	vapor
29.1505116667	0.100000000000	0.862666825010	1.15919607780	431.743214019	547.662821799	26.1312644954	6.23556893797	10.8554354799	440.859478804	10.4975511403	1.48229726960e-06	0.0237287280190	vapor
29.4605833333	0.100000000000	0.852712207487	1.17272860787	433.753738614	551.026599401	26.2460486608	6.23464458651	10.8414391258	443.414527933	10.3399865981	1.49781173174e-06	0.0239499904377	vapor
29.7706550000	0.100000000000	0.842998378750	1.18624190177	435.761937494	554.386127672	26.3594875381	6.23377275085	10.8280202691	445.951018866	10.1865287339	1.51325045819e-06	0.0241709281130	vapor
30.0807266667	0.100000000000	0.833516209578	1.19973671599	437.767908221	557.741579820	26.4716147948	6.23294629467	10.8151417446	448.469456551	10.0370017172	1.52861525566e-06	0.0243915319948	vapor
30.3907983333	0.100000000000	0.824257051161	1.21321376456	439.771741619	561.093118075	26.5824626990	6.23215917646	10.8027698304	450.970317719	9.89124121672	1.54390783013e-06	0.0246117938511	vapor
30.7008700000	0.100000000000	0.815212702261	1.22667372236	441.773522458	564.440894694	26.6920622100	6.23140629605	10.7908738585	453.454053211	9.74909339002	1.55912979519e-06	0.0248317062030	vapor
31.0109416667	0.100000000000	0.806375379175	1.24011722806	443.773330047	567.785052854	26.8004430591	6.23068336236	10.7794258746	455.921090059	9.61041397819	1.57428267956e-06	0.0250512622648	vapor
31.3210133333	0.100000000000	0.797737688198	1.25354488674	445.771238770	571.125727443	26.9076338245	6.22998677939	10.7684003411	458.371833360	9.47506749304	1.58936793390e-06	0.0252704558910	vapor
31.6310850000	0.100000000000	0.789292600356	1.26695727231	447.767318545	574.463045776	27.0136619987	6.22931354809	10.7577738766	460.806667961	9.34292648651	1.60438693696e-06	0.0254892815288	vapor
31.9411566667	0.100000000000	0.781033428158	1.28035492970	449.761635248	577.797128218	27.1185540515	6.22866118173	10.7475250283	463.225959975	9.21387089320	1.61934100109e-06	0.0257077341741	vapor
